name,price
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Yellow (MPQ23RK/A),289 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/256GB Wi-Fi Space Grey (MNXR3RK/A),781 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/128GB Wi-Fi+Cellular Space Grey (MNYC3RK/A),618 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/128GB Wi-Fi+Cellular Silver (MP1Y3RK/A),813 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Pink (MPQ33RK/A),289 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/128GB Wi-Fi Silver (MNXQ3RK/A),715 990 ₸
Планшеты Lenovo Tab P11 Plus TB-J616X 6/128GB (SG-RU),187 290 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/512GB Wi-Fi Space Grey (MNXU3RK/A),911 990 ₸
Планшеты Lenovo Tab P11 Plus 6/128GB TB-J616F,169 990 ₸
Планшеты Lenovo Tab P11 Plus TB-J616X 6/128GB (ZA9L0060RU),185 790 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Silver (MPQ03RK/A),289 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/256GB Wi-Fi Silver (MPQ83RK/A),390 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/128GB Wi-Fi+Cellular Silver (MNYD3RK/A),618 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Blue (MPQ13RK/A),289 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/256GB Wi-Fi Blue (MPQ93RK/A),390 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi+Cellular Blue (MQ6K3RK/A,390 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/256GB Wi-Fi+Cellular Silver (MQ6T3RK/A),487 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/256GB Wi-Fi+Cellular Space Grey (MNYE3RK/A),683 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/128GB Wi-Fi+Cellular Space Grey (MP1X3RK/A),813 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/256GB Wi-Fi+Cellular Silver (MNYF3RK/A),683 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/256GB Wi-Fi Space Grey (MNXF3RK/A),585 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi+Cellular Pink (MQ6M3RK/A),390 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/256 GB Wi-Fi+Cellular Silver (MP213RK/A),878 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/256GB Wi-Fi Silver (MNXG3RK/A),585 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi+Cellular Silver (MQ6J3RK/A),390 990 ₸
Планшет Lenovo Tab P11 Plus TB-J616X 4/64GB Grey (ZA9L0256RU),169 990 ₸
Планшеты Lenovo Tab P11 Plus 6/128GB TB-J616F (ZA940107RU),169 990 ₸
Планшет Apple iPad Pro 11-inch (2022) 1TB Pro Wi-Fi Space Grey (MNXK3RK/A),79 990 ₸
Планшет Lenovo Tab M10 2/32GB 4G Black (TB-X505X),406 990 ₸
Планшет Apple iPad Air 10.9″ (2020) 3/64GB Wi-Fi Space Grey (MYFM2),29 990 ₸
Планшет Prestigio Smartkids 3197 Blue,61 990 ₸
Планшет Lenovo Tab M8 2/32GB Wi-Fi Grey(TB-8505F),33 990 ₸
Планшет BQ 1045G,49 990 ₸
Планшет Lenovo Tab 4 7304X 7″ 4G 16GB Black,46 990 ₸
Планшет Prestigio Muze 4231 4G,85 090 ₸
"Планшет Apple iPad Air 10.9"" 256GB Wi-Fi + Cellular 2022 Starlight (MM743RK/A)",46 990 ₸
