name,price
Ноутбук Thunderobot 911 MT Pro D,559 990 ₸
Ноутбук HP Victus 16-e1067ci R5165SGN (6X7R4EA),449 990 ₸
Ноутбук HP Pavilion 15-eg2020ci I5165SUW1 (6G811EA),569 990 ₸
Ноутбук HP Victus 16-e0008ur R5165SGN (489H1EA),559 990 ₸
Ноутбук Thunderobot 911 Plus XD,899 990 ₸
Ноутбук Thunderobot Zero Max,689 990 ₸
Ноутбук Thunderobot 911 MR Max Silver,459 990 ₸
Ноутбук Asus X515EA-BQ3270 (90NB0TY1-M038M0),199 990 ₸
Ноутбук Acer Aspire 3 A314-35 (NX.A7SER.00G),519 990 ₸
Ноутбук Acer Nitro 5 AN515-57 (NH.QEKER.004),349 990 ₸
Ноутбук Asus TUF Gaming F15 i585SGN (90NR0724-M01890),919 990 ₸
Ноутбук Asus X515EA-BQ3144W I385SUW1 (90NB0TY1-M02ZL0),509 990 ₸
"Ноутбук ASUS Zenbook UM3402YA-KP309W (R585SUW1, 90NB0W95-M00KM0)",729 990 ₸
Ноутбук Acer Aspire 5 A515-57 I7165SUW1 (NX.K3KER.004),549 990 ₸
Ноутбук Acer Aspire 5 A515-57 I385SUW1 (NX.K3KER.00E),229 990 ₸
Ноутбук Asus ROG Zephyrus M16 GU603ZX-K8051X  I9321TSGW1 (90NR08R1-M002U0),269 990 ₸
"Ноутбук ASUS Vivobook M1603QA-MB218 (R785SUN, 90NB0Y81-M00CV0)",359 990 ₸
Ноутбук Acer Aspire 3 A315-43 R585SUW1 (NX.K7CER.008),899 990 ₸
"Ноутбук Apple MacBook Air 13 13,6""  M2162SUX Z160000KQ Midnight",764 990 ₸
Ноутбук Asus ROG Strix SCAR 15 G533ZS-LN050X I9161TSGW1 (90NR0B62-M002D0),499 990 ₸
Ноутбук HP Victus 16-d1040ci I5161TSGN (6D8L9EA),429 990 ₸
Ноутбук Lenovo Yoga Slim 7 Pro 14ACH5 D R585SMW1 (82NJ004VRK),399 990 ₸
Ноутбук Acer Nitro 5 AN515-45 R585SGN (NH.QB9ER.004),319 990 ₸
Ультрабук Asus X1503Z (90NB0WY1-M00E00),269 990 ₸
Ноутбук Thunderobot 911 Air D Black,299 990 ₸
Ноутбук Acer Aspire 3 A315-43 R582SUN (NX.K7CER.001),329 990 ₸
Ноутбук Asus X515JA-BQ3267 (90NB0SR3-M02PV0) Peacock Blue,329 990 ₸
Ноутбук Asus X515EA-BQ3271 (90NB0TY1-M038N0),649 990 ₸
